Company,Age,Share of respondents,Year,Country
Burger King,18 - 29 years,53.53,2018,US
Burger King,30 - 49 years,63.95,2018,US
Burger King,50 - 64 years,51.24,2018,US
Dunkin' Donuts,18-29 years,35.87,2018,US
Dunkin' Donuts,30-49 years,40.81,2018,US
Dunkin' Donuts,50-64 years,24.09,2018,US
Arby's,18-29 years,34.5,2018,US
Arby's,30-49 years,47.62,2018,US
Arby's,50-64 years,38.46,2018,US
KFC,18 - 29 years,44.07,2018,US
KFC,30 - 49 years,56.35,2018,US
KFC,50 - 64 years,42.56,2018,US
McDonald's,18 - 29 years,68.07,2018,US
McDonald's,30 - 49 years,73.42,2018,US
McDonald's,50 - 64 years,65.14,2018,US
Subway,18 - 29 years,55.17,2018,US
Subway,30 - 49 years,63.28,2018,US
Subway,50 - 64 years,55.38,2018,US
Wendy's,18 - 29 years,54.07,2018,US
Wendy's,30 - 49 years,61.55,2018,US
Wendy's,50 - 64 years,48.68,2018,US
Pizza Hut,18 - 29 years,67.98,2018,US
Pizza Hut,30 - 49 years,89.43,2018,US
Pizza Hut,50 - 64 years,78.9,2018,US
Chick-fil-A,18 - 29 years,67.54,2018,US
Chick-fil-A,30 - 49 years,23.98,2018,US
Chick-fil-A,50 - 64 years,55.76,2018,US
Panera Bread,18 - 29 years,34.87,2018,US
Panera Bread,30 - 49 years,35.79,2018,US
Panera Bread,50 - 64 years,45.32,2018,US
Papa John's,18 - 29 years,65.9,2018,US
Papa John's,30 - 49 years,52.01,2018,US
Papa John's,50 - 64 years,69.45,2018,US
Chipotle Mexican Grill,18 - 29 years,47.9,2018,US
Chipotle Mexican Grill,30 - 49 years,66.83,2018,US
Chipotle Mexican Grill,50 - 64 years,52.11,2018,US
Domino's,18 - 29 years,91.87,2018,US
Domino's,30 - 49 years,85.63,2018,US
Domino's,50 - 64 years,93.9,2018,US
Starbucks,18 - 29 years,82.86,2018,US
Starbucks,30 - 49 years,89.54,2018,US
Starbucks,50 - 64 years,90.02,2018,US
Little Caesars,18 - 29 years,38.8,2018,US
Little Caesars,30 - 49 years,47.87,2018,US
Little Caesars,50 - 64 years,52.9,2018,US
Taco Bell,18 - 29 years,74.76,2018,US
Taco Bell,30 - 49 years,81.23,2018,US
Taco Bell,50 - 64 years,86.9,2018,US
Jack in the Box,18 - 29 years,53.12,2018,US
Jack in the Box,30 - 49 years,59.63,2018,US
Jack in the Box,50 - 64 years,65.9,2018,US
Taco Bell,50 - 64 years,86.9,2018,US
Jack in the Box,18 - 29 years,53.12,2018,US
Jack in the Box,30 - 49 years,59.63,2018,US
Jack in the Box,50 - 64 years,65.9,2018,US
